RUN	info.ragozin.loadlab.wp.simulations.RandomPostCommentClose	randompostcommentclose	1558943390150	 	3.1.2
REQUEST	23		/wp/v2/posts?page/{id} (GET)	1558943411707	1558943411758	OK	 
REQUEST	23		/wp-json/wp/v2/comments (POST)	1558943411759	1558943411824	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 409
USER	RandomPostCommentClose	23	END	1558943411544	1558943411832
USER	RandomPostCommentClose	24	START	1558943411832	1558943411832
REQUEST	24		/wp/v2/posts?{page} (GET)	1558943411833	1558943412018	OK	 
REQUEST	24		/wp/v2/posts?page/{id} (GET)	1558943412020	1558943412101	OK	 
REQUEST	24		/wp-json/wp/v2/comments (POST)	1558943412102	1558943412141	OK	 
USER	RandomPostCommentClose	24	END	1558943411832	1558943412142
USER	RandomPostCommentClose	25	START	1558943412142	1558943412142
REQUEST	25		/wp/v2/posts?{page} (GET)	1558943412144	1558943412401	OK	 
REQUEST	25		/wp/v2/posts?page/{id} (GET)	1558943412406	1558943412439	OK	 
REQUEST	25		/wp-json/wp/v2/comments (POST)	1558943412440	1558943412529	OK	 
USER	RandomPostCommentClose	25	END	1558943412142	1558943412530
USER	RandomPostCommentClose	26	START	1558943412530	1558943412530
REQUEST	26		/wp/v2/posts?{page} (GET)	1558943412531	1558943412631	OK	 
REQUEST	26		/wp/v2/posts?page/{id} (GET)	1558943412633	1558943412723	OK	 
REQUEST	26		/wp-json/wp/v2/comments (POST)	1558943412725	1558943412816	OK	 
USER	RandomPostCommentClose	26	END	1558943412530	1558943412817
USER	RandomPostCommentClose	27	START	1558943412818	1558943412818
REQUEST	27		/wp/v2/posts?{page} (GET)	1558943412820	1558943412939	OK	 
REQUEST	27		/wp/v2/posts?page/{id} (GET)	1558943412942	1558943413035	OK	 
REQUEST	27		/wp-json/wp/v2/comments (POST)	1558943413036	1558943413135	OK	 
USER	RandomPostCommentClose	27	END	1558943412818	1558943413135
USER	RandomPostCommentClose	28	START	1558943413135	1558943413135
REQUEST	28		/wp/v2/posts?{page} (GET)	1558943413137	1558943413403	OK	 
REQUEST	28		/wp/v2/posts?page/{id} (GET)	1558943413408	1558943413455	OK	 
REQUEST	28		/wp-json/wp/v2/comments (POST)	1558943413456	1558943413526	OK	 
USER	RandomPostCommentClose	28	END	1558943413135	1558943413527
USER	RandomPostCommentClose	29	START	1558943413527	1558943413527
REQUEST	29		/wp/v2/posts?{page} (GET)	1558943413528	1558943413803	OK	 
REQUEST	29		/wp/v2/posts?page/{id} (GET)	1558943413808	1558943413853	OK	 
REQUEST	29		/wp-json/wp/v2/comments (POST)	1558943413854	1558943413924	OK	 
USER	RandomPostCommentClose	29	END	1558943413527	1558943413925
